공급유형,진행상태,지역,공고명,모집공고일자,당첨발표일자,공급기관,링크
매입임대,모집중,경상북도,안동시 매입임대주택 예비입주자 모집 공고,2022-06-02,2022-09-30,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11499
행복주택,모집중,강원도,삼척당저 행복주택 입주자격완화 추가입주자 모집,2022-06-02,2022-11-04,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11497
행복주택,모집중,광주광역시,서림마을 행복주택 잔여세대 및 예비입주자 모집공고,2022-06-02,2022-08-29,광주광역시도시공사,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11500
매입임대,모집중,서울특별시,화곡동 청년협동조합주택(그랑) 잔여세대 입주자 모집 공고(2022.06.02.),2022-06-02,2022-10-12,SH공사,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11496
행복주택,모집중,전라북도,전주1산단 A-1BL 행복주택 자격완화(예비) 입주자 추가모집,2022-05-31,2022-09-07,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11495
행복주택,모집중,경기도,안산 선부 행복주택 예비입주자 모집공고,2022-05-31,2022-09-23,안산도시공사,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=8601
행복주택,모집중,부산광역시,부산도시공사 아미4 행복주택 입주자모집 공고,2022-05-31,2022-11-18,부산도시공사,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11493
매입임대,모집중,대전광역시외 1개 지역,[대전충남] 기존주택 등 매입임대주택 입주자 모집 공고,2022-05-30,2022-07-25,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11492
행복주택,모집중,충청남도,당진우강송산 A1BL 행복주택 자격완화 입주자 추가모집 공고,2022-05-30,2022-09-26,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11491
행복주택,모집중,경기도,평택시·안성시 지역 행복주택 예비입주자 모집(2022.05.30),2022-05-30,2022-10-13,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11490
행복주택,모집완료,경기도,[정정공고]파주시 행복주택 입주자격완화 예비자 모집공고(22.5.6),2022-05-06,2022-09-08,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11326
행복주택,모집완료,경기도,2022년 5월 고양시 지역 행복주택 예비입주자 모집 공고,2022-05-06,2022-08-26,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11319
행복주택,모집완료,경기도,파주시 행복주택 입주자격완화 예비자 모집공고(22.5.6),2022-05-06,2022-09-08,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11315
행복주택,모집완료,경기도,부천시 지역 행복주택 예비입주자 모집공고(22.5.6),2022-05-06,2022-09-02,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11314
행복주택,모집완료,경기도,파주운정3 A-25블록 행복주택 추가 입주자모집공고(입주자격 완화),2022-05-03,2022-08-25,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11283
행복주택,모집완료,경기도,의정부고산 S6BL 신혼희망타운 행복주택 추가입주자 모집공고,2022-04-29,2022-08-19,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11268
행복주택,모집완료,경기도,의왕고천 A-2블록 신혼희망타운 행복주택 입주자 모집,2022-04-29,2022-08-24,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11267
행복주택,모집완료,경기도,김포마송 B-3블록 행복주택 입주자격완화 추가입주자모집공고(2022.04.29),2022-04-29,2022-08-25,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11254
행복주택,모집완료,경기도,파주법원 행복주택 추가입주자모집공고(입주자격 완화·공급비율 조정),2022-04-26,2022-08-17,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11221
행복주택,모집완료,경기도,평택고덕 A-6블록 행복주택 입주자격완화 추가모집,2022-04-25,2022-08-18,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11214
행복주택,모집완료,경기도,파주운정3 A34블록 행복주택 추가(예비) 입주자모집공고(22.04.20),2022-04-20,2022-09-14,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11185
행복주택,모집완료,경기도,고양삼송 A24블록 행복주택 입주자 모집공고(22.04.15),2022-04-15,2022-08-17,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11153
행복주택,모집완료,경기도,[정정공고]화성상리 1블록 행복주택 입주자격완화 추가모집,2022-04-13,2022-08-18,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11179
행복주택,모집완료,경기도,화성상리 1블록 행복주택 입주자격완화 추가모집,2022-04-13,2022-08-18,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11137
행복주택,모집완료,경기도,"김포한강한가람2, 김포한강1 행복주택 예비입주자 모집",2022-04-08,2022-07-29,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11108
행복주택,모집완료,경기도,하남시 행복주택 예비입주자 모집공고,2022-04-08,2022-07-15,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11107
행복주택,모집완료,경기도,"[정정공고]시흥시(시흥은계2,장현4단지) 행복주택 예비입주자 모집 공고(22.04.05)",2022-04-05,2022-07-29,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11212
행복주택,모집완료,경기도,"[정정공고]의왕고천 A-1BL(리츠), 군포송정 A-1BL 행복주택 예비입주자 모집",2022-04-05,2022-08-12,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11121
행복주택,모집완료,경기도,"[정정공고]의왕고천 A-1BL(리츠), 군포송정 A-1BL 행복주택 예비입주자 모집",2022-04-05,2022-08-12,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11076
행복주택,모집완료,경기도,[정정공고]파주운정A39블록 행복주택 예비입주자 모집공고(22.04.05),2022-04-05,2022-08-05,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11073
행복주택,모집완료,경기도,성남고등A-1 행복주택리츠 예비입주자 모집 공고,2022-04-05,2022-07-29,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11066
행복주택,모집완료,경기도,파주운정A39블록 행복주택 예비입주자 모집공고(22.04.05),2022-04-05,2022-08-05,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11064
행복주택,모집완료,경기도,"[정정공고]의왕고천 A-1BL(리츠), 군포송정 A-1BL 행복주택 예비입주자 모집",2022-04-05,2022-08-12,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11063
행복주택,모집완료,경기도,"시흥시(시흥은계2,장현4단지) 행복주택 예비입주자 모집 공고(22.04.05)",2022-04-05,2022-07-29,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11062
행복주택,모집완료,경기도,수원시 지역 행복주택 예비입주자 모집 공고(2022.04.05),2022-04-05,2022-07-29,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11060
행복주택,모집완료,경기도,"의왕고천 A-1BL(리츠), 군포송정 A-1BL 행복주택 예비입주자 모집",2022-04-05,2022-08-12,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11058
행복주택,모집완료,경기도,위례A2-6BL 신혼희망타운 행복주택 입주자모집,2022-03-31,2022-08-12,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11032
행복주택,모집완료,경기도,이천중리 A-1블록 행복주택 입주자 모집,2022-03-31,2022-08-01,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11027
행복주택,모집완료,경기도,평택청북 B-13블록 행복주택 입주자 모집,2022-03-31,2022-07-26,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=11025
행복주택,모집완료,경기도,파주운정3 A26블록 신혼희망타운 행복주택 추가 및 예비입주자 모집공고(2022.03.29.),2022-03-29,2022-07-28,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10982
행복주택,모집완료,경기도,[정정공고][정정공고]남양주시 지역 행복주택 예비입주자 모집 공고,2022-03-11,2022-07-15,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10937
행복주택,모집완료,경기도,[정정공고]남양주시 지역 행복주택 예비입주자 모집 공고,2022-03-11,2022-07-15,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10917
행복주택,모집완료,경기도,남양주시 지역 행복주택 예비입주자 모집 공고,2022-03-11,2022-07-15,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10826
행복주택,모집완료,경기도,[정정공고]하남감일 A7BL 신혼희망타운(행복주택) 추가 입주자 모집,2022-03-04,2022-06-17,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10806
행복주택,모집완료,경기도,하남감일 A7BL 신혼희망타운(행복주택) 추가 입주자 모집,2022-03-04,2022-06-17,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10774
행복주택,모집완료,경기도,[정정공고]화성향남2 B-15블록 행복주택 입주자 모집,2022-02-28,2022-06-10,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10816
행복주택,모집완료,경기도,[정정공고]고양지축 A-2블록 신혼희망타운 행복주택 신규 입주자모집공고(2022.02.28.),2022-02-28,2022-06-23,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10777
행복주택,모집완료,경기도,고양지축 A-2블록 신혼희망타운 행복주택 신규 입주자모집공고(2022.02.28.),2022-02-28,2022-06-23,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10758
행복주택,모집완료,경기도,화성향남2 B-15블록 행복주택 입주자 모집,2022-02-28,2022-06-10,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10756
행복주택,모집완료,경기도,파주병원복합 경기행복주택 [자격완화] 선착순 모집 공고,2022-02-25,2022-04-30,경기주택도시공사,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10778
행복주택,모집완료,경기도,가평청사복합 경기행복주택 선착순 모집 공고,2022-02-25,2022-04-30,경기주택도시공사,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10776
행복주택,모집완료,경기도,용인영덕 경기행복주택 입주자 모집 공고,2022-02-24,2022-07-14,경기주택도시공사,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10781
행복주택,모집완료,경기도,용인죽전 경기행복주택 입주자 모집 공고,2022-02-24,2022-07-07,경기주택도시공사,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10779
행복주택,모집완료,경기도,인천검단 및 김포권 행복주택 추가 및 예비입주자 모집(김포양곡 E-1블록),2022-02-03,2022-06-08,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10708
행복주택,모집완료,경기도,인천검단 및 김포권 행복주택 추가 및 예비입주자 모집(김포마송 B-5블록),2022-02-03,2022-06-08,LH,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=10707
